0,country_id
United Kingdom,1
United States,2
France,3
Argentina,4
Germany,5
China,6
South Africa,7
Australia,8
Indonesia,9
Brazil,10
India,11
Russia,12
Canada,13
Mexico,14
Japan,15
Albania,16
Algeria,17
Angola,18
Armenia,19
Austria,20
Azerbaijan,21
Bangladesh,22
Belarus,23
Belgium,24
Belize,25
Benin,26
Bhutan,27
Bolivia,28
Bosnia and Herzegovina,29
Botswana,30
Bulgaria,31
Burkina Faso,32
Burundi,33
Cameroon,34
Cape Verde,35
Central African Republic,36
Chad,37
Chile,38
Colombia,39
Comoros,40
Congo,41
Costa Rica,42
Ivory Coast,43
Croatia,44
Cyprus,45
Czechia,46
Democratic Republic of Congo,47
Denmark,48
Djibouti,49
Dominican Republic,50
Ecuador,51
Egypt,52
El Salvador,53
Estonia,54
Eswatini,55
Ethiopia,56
Fiji,57
Finland,58
Gabon,59
Gambia,60
Georgia,61
Ghana,62
Greece,63
Guatemala,64
Guinea,65
Guinea Bissau,66
Guyana,67
Haiti,68
Honduras,69
Hungary,70
Iceland,71
Iran,72
Iraq,73
Ireland,74
Israel,75
Italy,76
Jamaica,77
Jordan,78
Kazakhstan,79
Kenya,80
Kiribati,81
Kosovo,82
Kyrgyzstan,83
Laos,84
Latvia,85
Lebanon,86
Lesotho,87
Liberia,88
Lithuania,89
Luxembourg,90
Madagascar,91
Malawi,92
Malaysia,93
Maldives,94
Mali,95
Malta,96
Mauritania,97
Moldova,98
Mongolia,99
Montenegro,100
Morocco,101
Mozambique,102
Myanmar,103
Namibia,104
Nauru,105
Nepal,106
Netherlands,107
Nicaragua,108
Niger,109
Nigeria,110
North Macedonia,111
Norway,112
Pakistan,113
Palestine,114
Panama,115
Papua New Guinea,116
Paraguay,117
Peru,118
Philippines,119
Poland,120
Portugal,121
Romania,122
Rwanda,123
Saint Lucia,124
Samoa,125
Sao Tome and Principe,126
Senegal,127
Serbia,128
Seychelles,129
Sierra Leone,130
Slovakia,131
Slovenia,132
Solomon Islands,133
Somalia,134
South Asia,135
South Korea,136
South Sudan,137
Spain,138
Sri Lanka,139
Sudan,140
Suriname,141
Sweden,142
Switzerland,143
Syria,144
Taiwan,145
Tajikistan,146
Tanzania,147
Thailand,148
Timor,149
Togo,150
Tonga,151
Trinidad and Tobago,152
Tunisia,153
Turkey,154
Turkmenistan,155
Tuvalu,156
Uganda,157
Ukraine,158
United Arab Emirates,159
Uruguay,160
Uzbekistan,161
Vanuatu,162
Venezuela,163
Vietnam,164
Yemen,165
Zambia,166
Zimbabwe,167
New Zealand,168
Oman,169
Singapore,170
Qatar,171
Czech Republic,172
Saudi Arabia,173
Taiwan Province of China,174
Kuwait,175
Bahrain,176
Libya,177
Mauritius,178
Swaziland,179
Cambodia,180
Afghanistan,181
 Turkey,182
