country,country_id
Switzerland,1
Iceland,2
Denmark,3
Norway,4
Canada,5
Finland,6
Netherlands,7
Sweden,8
New Zealand,9
Australia,10
Israel,11
Costa Rica,12
Austria,13
Mexico,14
United States,15
Brazil,16
Luxembourg,17
Ireland,18
Belgium,19
United Arab Emirates,20
United Kingdom,21
Oman,22
Venezuela,23
Singapore,24
Panama,25
Germany,26
Chile,27
Qatar,28
France,29
Argentina,30
Czech Republic,31
Uruguay,32
Colombia,33
Thailand,34
Saudi Arabia,35
Spain,36
Malta,37
Taiwan Province of China,38
Kuwait,39
Suriname,40
Trinidad and Tobago,41
El Salvador,42
Guatemala,43
Uzbekistan,44
Slovakia,45
Japan,46
South Korea,47
Ecuador,48
Bahrain,49
Italy,50
Bolivia,51
Moldova,52
Paraguay,53
Kazakhstan,54
Slovenia,55
Lithuania,56
Nicaragua,57
Peru,58
Belarus,59
Poland,60
Malaysia,61
Croatia,62
Libya,63
Russia,64
Jamaica,65
Cyprus,66
Algeria,67
Kosovo,68
Turkmenistan,69
Mauritius,70
China,71
Estonia,72
Indonesia,73
Vietnam,74
Turkey,75
Kyrgyzstan,76
Nigeria,77
Bhutan,78
Azerbaijan,79
Pakistan,80
Jordan,81
Montenegro,82
Zambia,83
Romania,84
Serbia,85
Portugal,86
Latvia,87
Philippines,88
Somalia,89
Morocco,90
North Macedonia,91
Mozambique,92
Albania,93
Bosnia and Herzegovina,94
Lesotho,95
Dominican Republic,96
Laos,97
Mongolia,98
Swaziland,99
Greece,100
Lebanon,101
Hungary,102
Honduras,103
Tajikistan,104
Tunisia,105
Palestine,106
Bangladesh,107
Iran,108
Ukraine,109
Iraq,110
South Africa,111
Ghana,112
Zimbabwe,113
Liberia,114
India,115
Sudan,116
Haiti,117
Democratic Republic of Congo,118
Nepal,119
Ethiopia,120
Sierra Leone,121
Mauritania,122
Kenya,123
Djibouti,124
Armenia,125
Botswana,126
Myanmar,127
Georgia,128
Malawi,129
Sri Lanka,130
Cameroon,131
Bulgaria,132
Egypt,133
Yemen,134
Angola,135
Mali,136
Comoros,137
Uganda,138
Senegal,139
Gabon,140
Niger,141
Cambodia,142
Tanzania,143
Madagascar,144
Central African Republic,145
Chad,146
Guinea,147
Ivory Coast,148
Burkina Faso,149
Afghanistan,150
Rwanda,151
Benin,152
Syria,153
Burundi,154
Togo,155
Belize,156
Namibia,157
South Sudan,158
Gambia,159
Maldives,160
Czechia,161
Congo,162
Eswatini,163
 Turkey,164
Cape Verde,165
Fiji,166
Guinea Bissau,167
Guyana,168
Kiribati,169
Nauru,170
Papua New Guinea,171
Saint Lucia,172
Samoa,173
Sao Tome and Principe,174
Seychelles,175
Solomon Islands,176
South Asia,177
Taiwan,178
Timor,179
Tonga,180
Tuvalu,181
Vanuatu,182
